City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Vaini,TO,75.36,light intensity drizzle,-21.2,-175.2,Keleti Beach Resort
8,Victoria,HK,82.38,light rain,22.2855,114.1577,Mini Hotel Central
14,Belmonte,BR,73.9,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
15,Jamestown,US,74.52,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
22,Pochutla,MX,80.42,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
24,Rikitea,PF,71.64,clear sky,-23.1203,-134.9692,People ThankYou
32,Alamos,MX,72.12,overcast clouds,27.0167,-108.9333,Luz del Sol
33,Zaragoza,ES,73.85,clear sky,41.6561,-0.8773,Hotel Goya
38,Lompoc,US,76.01,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
43,Calabozo,VE,73.22,few clouds,8.9242,-67.4293,Hotel Giardini
44,Biak,ID,82.6,broken clouds,-0.9131,122.8766,Penginapan Kim
45,Preobrazheniye,RU,79.83,overcast clouds,42.9019,133.9064,Campsite Orlan
47,Hithadhoo,MV,82.36,overcast clouds,-0.6,73.0833,Scoop Guest House
48,Oistins,BB,80.69,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
50,Santa Ines,BR,74.39,few clouds,-3.6667,-45.38,Palace hotel
56,Poum,NC,73.9,clear sky,-20.2333,164.0167,Gîte kajeon
58,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
61,Juegang,CN,79.99,light rain,32.3174,121.1855,Rudong Y Hotel
65,Ponta Do Sol,PT,70.72,clear sky,32.6667,-17.1,Hotel do Campo
69,Ambon,ID,82.54,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
71,Yellowknife,CA,72.12,scattered clouds,62.456,-114.3525,The Explorer Hotel
72,Ugoofaaru,MV,82.35,scattered clouds,5.6667,73.0,Ungoofaaru Inn
75,Xingcheng,CN,75.2,light rain,40.6167,120.7167,New Century Hotel
76,Tambo Grande,PE,72.79,overcast clouds,-4.9269,-80.3447,Hostal Nuevo Primavera
78,Sao Jose Da Coroa Grande,BR,74.05,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
83,Atuona,PF,77.14,overcast clouds,-9.8,-139.0333,Villa Enata
84,Areia Branca,BR,77.05,overcast clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
86,Guerrero Negro,MX,75.85,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
90,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
93,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
102,Chernyshevskiy,RU,71.6,clear sky,63.0128,112.4714,Chernyseyskiy
106,Chau Doc,VN,82.18,broken clouds,10.7,105.1167,JADE AND SAPPHIRE GUESTHOUSE
109,Hilo,US,83.93,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
113,Khatanga,RU,84.65,clear sky,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
114,Udachnyy,RU,76.51,scattered clouds,66.4167,112.4,Severnoye Siyaniye
117,Zhuanghe,CN,77.43,overcast clouds,39.7008,122.9911,Hanting Express Dalian Zhuanghe Qiansheng
119,Puerto Ayora,EC,71.02,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
128,Puerto Escondido,MX,79.63,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
132,Kutum,SD,79.14,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
133,Vilyuysk,RU,74.34,broken clouds,63.7553,121.6247,Gostinitsa Viliuisk
134,Sherpur,BD,77.52,overcast clouds,25.0188,90.0175,জামালপুর মডেল ছাত্রাবাস
135,Fort Nelson,CA,80.19,few clouds,58.8053,-122.7002,The Fort Nelson Hotel
137,Isangel,VU,75.92,scattered clouds,-19.55,169.2667,Tanna Lodge
143,Umarkot,PK,82.38,overcast clouds,25.3616,69.7362,Al-Qamar Boys Hostel
147,Palmer,US,71.2,overcast clouds,42.1584,-72.3287,Wedgewood Motel
158,Keti Bandar,PK,82.26,overcast clouds,24.1447,67.4497,Haji laloo memon house
163,Jalu,LY,78.76,clear sky,29.0331,21.5482,صاحبة الفخامة
165,Assiniboia,CA,80.42,clear sky,49.6334,-105.9845,Canalta Hotel Assiniboia
166,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
168,Batticaloa,LK,81.84,broken clouds,7.7102,81.6924,Grand Star Guest House
170,Hasaki,JP,84.6,few clouds,35.7333,140.8333,Hotel Sunrise Choshi
171,Milkovo,RU,75.0,light rain,54.7167,158.6167,"Hotel ""Geologist"""
174,Wamba,NG,71.71,light rain,8.9333,8.6,Roma Zee Guest House Annex
178,Mahebourg,MU,70.09,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
179,Kuching,MY,79.02,light rain,1.55,110.3333,The Ranee Boutique Suites
180,Bakel,SN,80.22,overcast clouds,14.905,-12.4568,Ablaye Diallo Bakel
181,Saint Marys,US,82.51,clear sky,30.7305,-81.5465,Spencer House Inn
183,Bethel,US,71.69,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
186,Bengkulu,ID,81.5,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
187,Nata,PA,77.47,overcast clouds,8.3333,-80.5167,Cabañas Estancia Bayamon
188,Bongaree,AU,72.54,clear sky,-27.0797,153.1586,The Gums Anchorage
190,Pierre,US,84.06,haze,44.3683,-100.351,Ramkota Hotel
191,Alushta,UA,76.78,clear sky,44.6667,34.4167,Villa Lubimaya
192,Rumonge,BI,70.61,few clouds,-3.9736,29.4386,Kwetu Guest House
195,Salalah,OM,78.89,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
