City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6001,-73.9662,71.62,93,100,5.23,overcast clouds
1,Cabo San Lucas,MX,22.8909,-109.9124,91.51,72,20,5.99,few clouds
2,Haines Junction,CA,60.7522,-137.5108,69.75,46,38,8.05,scattered clouds
3,Esperance,AU,-33.8667,121.9,55.24,67,97,26.69,overcast clouds
4,Vaini,TO,-21.2,-175.2,75.36,88,75,6.91,light intensity drizzle
5,Honiara,SB,-9.4333,159.95,87.19,65,13,7.14,few clouds
6,Vostok,RU,46.4856,135.8833,71.06,90,100,1.59,overcast clouds
7,Punta Arenas,CL,-53.15,-70.9167,39.11,87,0,17.27,clear sky
8,Victoria,HK,22.2855,114.1577,82.38,93,100,1.01,light rain
9,Nchelenge,ZM,-9.3451,28.734,59.16,52,0,7.38,clear sky
10,Barrow,US,71.2906,-156.7887,53.62,82,90,5.75,light rain
11,Planaltina,BR,-15.4528,-47.6142,61.09,39,0,6.82,clear sky
12,Raga,SS,8.4596,25.678,68.23,96,100,5.59,overcast clouds
13,Bestobe,KZ,52.4994,73.0975,63.07,43,0,4.83,clear sky
14,Belmonte,BR,-15.8631,-38.8828,73.9,88,83,17.87,broken clouds
15,Jamestown,US,42.097,-79.2353,74.52,83,40,5.57,scattered clouds
16,Goderich,CA,43.7501,-81.7165,68.92,88,0,8.05,clear sky
17,Ushuaia,AR,-54.8,-68.3,42.46,49,0,10.36,clear sky
18,Tessalit,ML,20.1986,1.0114,85.84,42,37,4.56,scattered clouds
19,Kapaa,US,22.0752,-159.319,85.98,71,75,3.0,light rain
20,Lebu,CL,-37.6167,-73.65,48.56,84,0,5.37,clear sky
21,Lokosovo,RU,61.1333,74.8167,48.58,96,100,7.34,moderate rain
22,Pochutla,MX,15.7432,-96.4661,80.42,90,100,2.19,overcast clouds
23,Mataura,NZ,-46.1927,168.8643,50.49,81,100,3.13,light rain
24,Rikitea,PF,-23.1203,-134.9692,71.64,76,2,3.53,clear sky
25,Katsuura,JP,35.1333,140.3,86.11,82,26,8.72,scattered clouds
26,New Norfolk,AU,-42.7826,147.0587,54.91,66,100,4.0,overcast clouds
27,Okulovka,RU,58.4008,33.2908,58.51,98,11,5.44,few clouds
28,Cidreira,BR,-30.1811,-50.2056,45.09,72,12,9.22,few clouds
29,Winnemucca,US,40.973,-117.7357,96.85,11,20,5.75,few clouds
30,Vardo,NO,70.3705,31.1107,45.03,86,100,4.99,overcast clouds
31,Qaanaaq,GL,77.484,-69.3632,39.72,88,69,7.58,broken clouds
32,Alamos,MX,27.0167,-108.9333,72.12,88,100,6.2,overcast clouds
33,Zaragoza,ES,41.6561,-0.8773,73.85,66,0,4.0,clear sky
34,Arroyo,ES,41.6096,-4.7969,68.14,58,0,6.91,clear sky
35,Lotofaga,WS,-13.9764,-171.8578,87.58,78,74,20.54,light rain
36,Puerto Quijarro,BO,-17.7833,-57.7667,52.5,28,0,3.4,clear sky
37,Buala,SB,-8.145,159.5921,85.17,68,4,7.38,clear sky
38,Lompoc,US,34.6391,-120.4579,76.01,80,90,5.01,overcast clouds
39,Port Elizabeth,ZA,-33.918,25.5701,48.49,87,0,5.75,clear sky
40,Mount Gambier,AU,-37.8333,140.7667,55.31,54,75,20.71,broken clouds
41,Nikolskoye,RU,59.7035,30.7861,62.49,90,56,6.17,broken clouds
42,Pisco,PE,-13.7,-76.2167,63.01,82,90,6.91,overcast clouds
43,Calabozo,VE,8.9242,-67.4293,73.22,93,20,3.87,few clouds
44,Biak,ID,-0.9131,122.8766,82.6,69,69,4.27,broken clouds
45,Preobrazheniye,RU,42.9019,133.9064,79.83,73,100,4.59,overcast clouds
46,Ostrovnoy,RU,68.0531,39.5131,43.02,88,9,2.06,clear sky
47,Hithadhoo,MV,-0.6,73.0833,82.36,70,99,2.86,overcast clouds
48,Oistins,BB,13.0667,-59.5333,80.69,74,20,12.66,few clouds
49,Bredasdorp,ZA,-34.5322,20.0403,47.52,87,12,5.75,few clouds
50,Santa Ines,BR,-3.6667,-45.38,74.39,90,24,4.18,few clouds
51,Kodiak,US,57.79,-152.4072,56.71,67,90,4.61,overcast clouds
52,Cape Town,ZA,-33.9258,18.4232,49.26,95,0,1.01,clear sky
53,Necochea,AR,-38.5473,-58.7368,43.03,65,0,10.71,clear sky
54,Beira,MZ,-19.8436,34.8389,59.09,100,0,5.75,clear sky
55,Arraial Do Cabo,BR,-22.9661,-42.0278,63.14,57,99,20.83,overcast clouds
56,Poum,NC,-20.2333,164.0167,73.9,69,3,12.3,clear sky
57,Caravelas,BR,-17.7125,-39.2481,69.64,82,100,14.72,overcast clouds
58,Alofi,NU,-19.0595,-169.9187,78.69,73,75,12.66,broken clouds
59,Codrington,AU,-38.2667,141.9667,54.32,64,57,26.53,broken clouds
60,Chapais,CA,49.7834,-74.8492,55.18,96,100,9.93,overcast clouds
61,Juegang,CN,32.3174,121.1855,79.99,76,13,10.33,light rain
62,Sitka,US,57.0531,-135.33,69.69,64,20,4.61,few clouds
63,Lagos,NG,6.5833,3.75,77.32,88,15,3.71,few clouds
64,Busselton,AU,-33.65,115.3333,51.04,72,92,27.04,overcast clouds
65,Ponta Do Sol,PT,32.6667,-17.1,70.72,78,9,5.7,clear sky
66,Moyobamba,PE,-6.05,-76.9667,64.47,97,99,2.08,overcast clouds
67,Ballina,AU,-28.8667,153.5667,64.78,39,0,8.05,clear sky
68,Rawson,AR,-43.3002,-65.1023,55.0,38,19,14.16,few clouds
69,Ambon,ID,-3.6954,128.1814,82.54,83,40,1.14,scattered clouds
70,Tatarsk,RU,55.219,75.9828,59.43,55,6,7.16,clear sky
71,Yellowknife,CA,62.456,-114.3525,72.12,43,40,8.05,scattered clouds
72,Ugoofaaru,MV,5.6667,73.0,82.35,73,34,8.16,scattered clouds
73,China,MX,25.7,-99.2333,88.75,48,100,15.1,overcast clouds
74,Iqaluit,CA,63.7506,-68.5145,49.73,81,75,0.0,broken clouds
75,Xingcheng,CN,40.6167,120.7167,75.2,95,100,8.75,light rain
76,Tambo Grande,PE,-4.9269,-80.3447,72.79,68,100,9.82,overcast clouds
77,Ancud,CL,-41.8697,-73.8203,44.13,87,100,9.08,overcast clouds
78,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,74.05,86,52,4.99,broken clouds
79,Talnakh,RU,69.4865,88.3972,57.47,91,100,2.35,light rain
80,Namatanai,PG,-3.6667,152.4333,85.08,68,19,2.68,light rain
81,Dikson,RU,73.5069,80.5464,42.21,89,100,13.2,light rain
82,Alyangula,AU,-13.8483,136.4192,85.87,62,1,5.75,haze
83,Atuona,PF,-9.8,-139.0333,77.14,81,100,12.82,overcast clouds
84,Areia Branca,BR,-4.9561,-37.1369,77.05,80,91,18.14,overcast clouds
85,Abu Samrah,SY,35.3029,37.1841,74.71,56,0,9.26,clear sky
86,Guerrero Negro,MX,27.9769,-114.0611,75.85,69,0,20.2,clear sky
87,Onokhoy,RU,51.932,108.0747,56.95,81,100,7.78,overcast clouds
88,Bratsk,RU,56.1325,101.6142,57.69,76,88,8.01,overcast clouds
89,Hobart,AU,-42.8794,147.3294,55.26,64,75,1.99,broken clouds
90,Bathsheba,BB,13.2167,-59.5167,81.21,74,20,12.66,few clouds
91,Muscat,OM,23.6139,58.5922,102.22,51,100,7.47,overcast clouds
92,Abha,SA,18.2164,42.5053,67.82,73,86,0.0,overcast clouds
93,Avarua,CK,-21.2078,-159.775,77.05,61,75,8.05,broken clouds
94,Petropavlovskoye,RU,52.0712,84.107,65.62,54,98,2.62,overcast clouds
95,Buraydah,SA,26.326,43.975,86.45,18,32,9.15,scattered clouds
96,Saint-Louis,SN,16.3333,-15.0,81.25,68,99,8.88,overcast clouds
97,Luba,GQ,3.4568,8.5547,75.09,87,97,6.71,moderate rain
98,Bluff,NZ,-46.6,168.3333,50.81,74,100,3.71,moderate rain
99,Lorengau,PG,-2.0226,147.2712,85.35,68,31,5.21,scattered clouds
100,Pangnirtung,CA,66.1451,-65.7125,51.39,70,15,2.84,few clouds
101,Ilulissat,GL,69.2167,-51.1,48.22,76,99,3.44,overcast clouds
102,Chernyshevskiy,RU,63.0128,112.4714,71.6,30,5,9.42,clear sky
103,Clyde River,CA,70.4692,-68.5914,39.43,93,75,4.61,broken clouds
104,Kijang,KR,35.2442,129.2139,87.53,58,94,10.94,overcast clouds
105,Honningsvag,NO,70.9821,25.9704,44.78,82,100,11.45,overcast clouds
106,Chau Doc,VN,10.7,105.1167,82.18,77,64,15.28,broken clouds
107,Starosubkhangulovo,RU,53.1031,57.4423,53.11,93,100,4.94,light rain
108,Fortuna,US,40.5982,-124.1573,64.92,80,1,1.99,clear sky
109,Hilo,US,19.7297,-155.09,83.93,70,40,6.91,scattered clouds
110,Tuktoyaktuk,CA,69.4541,-133.0374,57.2,88,75,10.36,broken clouds
111,Maniitsoq,GL,65.4167,-52.9,46.42,77,3,10.92,clear sky
112,Luderitz,NA,-26.6481,15.1594,64.96,38,0,11.63,clear sky
113,Khatanga,RU,71.9667,102.5,84.65,40,0,9.71,clear sky
114,Udachnyy,RU,66.4167,112.4,76.51,32,38,8.88,scattered clouds
115,Qiyang,CN,26.5911,111.8474,90.05,61,7,2.28,clear sky
116,Half Moon Bay,US,37.4636,-122.4286,91.22,73,75,6.91,broken clouds
117,Zhuanghe,CN,39.7008,122.9911,77.43,96,100,17.2,overcast clouds
118,Hofn,IS,64.2539,-15.2082,50.61,94,89,2.55,overcast clouds
119,Puerto Ayora,EC,-0.7393,-90.3518,71.02,91,30,7.0,scattered clouds
120,Laguna,US,38.421,-121.4238,107.76,29,1,5.99,clear sky
121,Vertientes,CU,21.2594,-78.1464,81.21,92,43,8.95,scattered clouds
122,Wasilla,US,61.5814,-149.4394,62.29,72,90,3.44,overcast clouds
123,Nanortalik,GL,60.1432,-45.2371,46.29,80,100,16.42,overcast clouds
124,Talaya,RU,61.3833,152.75,40.98,74,100,12.3,overcast clouds
125,Naze,JP,28.3667,129.4833,85.12,78,100,1.34,overcast clouds
126,Chuy,UY,-33.6971,-53.4616,40.93,86,9,5.68,clear sky
127,Berlevag,NO,70.8578,29.0864,44.24,84,100,3.69,overcast clouds
128,Puerto Escondido,MX,15.85,-97.0667,79.63,65,90,4.61,overcast clouds
129,Itigi,TZ,-5.7,34.4833,58.05,76,6,7.78,clear sky
130,Gazli,UZ,40.1333,63.45,79.23,25,0,16.87,clear sky
131,Qujing,CN,25.4833,103.7833,69.49,79,95,1.92,overcast clouds
132,Kutum,SD,14.2,24.6667,79.14,57,87,5.66,overcast clouds
133,Vilyuysk,RU,63.7553,121.6247,74.34,32,63,1.81,broken clouds
134,Sherpur,BD,25.0188,90.0175,77.52,91,100,15.95,overcast clouds
135,Fort Nelson,CA,58.8053,-122.7002,80.19,26,20,4.61,few clouds
136,Mar Del Plata,AR,-38.0023,-57.5575,49.12,70,0,1.01,clear sky
137,Isangel,VU,-19.55,169.2667,75.92,77,39,8.41,scattered clouds
138,Mirandopolis,BR,-21.1336,-51.1017,42.73,31,3,6.58,clear sky
139,Kjollefjord,NO,70.9457,27.3465,44.37,83,100,5.44,overcast clouds
140,Verkhoyansk,RU,67.5447,133.385,67.03,32,18,0.31,few clouds
141,Elizabeth City,US,36.2946,-76.2511,86.02,86,1,1.01,clear sky
142,Kieta,PG,-6.2167,155.6333,85.17,69,27,5.53,scattered clouds
143,Umarkot,PK,25.3616,69.7362,82.38,77,100,20.45,overcast clouds
144,Darhan,MN,49.4867,105.9228,59.38,86,100,10.07,overcast clouds
145,Hermanus,ZA,-34.4187,19.2345,51.91,81,16,7.29,few clouds
146,Paamiut,GL,61.994,-49.6678,43.43,87,100,3.27,overcast clouds
147,Palmer,US,42.1584,-72.3287,71.2,81,90,7.0,overcast clouds
148,Ilinskiy,RU,55.619,38.1182,68.31,100,87,2.24,overcast clouds
149,Odesskoye,RU,54.2111,72.9651,60.1,55,4,8.05,clear sky
150,Letterkenny,IE,54.95,-7.7333,55.08,96,100,2.82,overcast clouds
151,Kaitangata,NZ,-46.2817,169.8464,53.92,79,92,8.81,light rain
152,Maloy,NO,61.9353,5.1136,64.0,93,85,15.93,overcast clouds
153,Malayal,PH,7.208,121.942,85.8,68,98,2.91,overcast clouds
154,Provideniya,RU,64.3833,-173.3,51.91,76,75,15.66,broken clouds
155,Kruisfontein,ZA,-34.0033,24.7314,45.88,79,3,5.91,clear sky
156,Cherskiy,RU,68.75,161.3,37.78,64,100,20.58,overcast clouds
157,Mozarlandia,BR,-14.7447,-50.5706,67.08,22,0,10.92,clear sky
158,Keti Bandar,PK,24.1447,67.4497,82.26,83,100,22.7,overcast clouds
159,Castro,BR,-24.7911,-50.0119,33.82,60,0,2.82,clear sky
160,Norman Wells,CA,65.282,-126.8329,69.84,60,75,0.0,broken clouds
161,Constitucion,CL,-35.3333,-72.4167,51.37,76,0,2.28,clear sky
162,Arlit,NE,18.7369,7.3853,91.35,41,6,10.42,clear sky
163,Jalu,LY,29.0331,21.5482,78.76,59,0,9.31,clear sky
