City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Barrow,US,2021-07-27 12:53:05,71.2906,-156.7887,41.02,93,90,3.44
1,Hay River,CA,2021-07-27 12:53:06,60.8156,-115.7999,53.58,76,40,6.91
2,Pevek,RU,2021-07-27 12:53:06,69.7008,170.3133,34.05,94,100,17.27
3,Rikitea,PF,2021-07-27 12:53:06,-23.1203,-134.9692,74.46,76,100,17.67
4,Atuona,PF,2021-07-27 12:52:40,-9.8,-139.0333,77.52,71,18,19.19
5,Victoria,HK,2021-07-27 12:52:07,22.2855,114.1577,91.45,72,81,4.0
6,Tarauaca,BR,2021-07-27 12:53:07,-8.1614,-70.7656,80.71,64,2,2.48
7,Colac,AU,2021-07-27 12:53:07,-38.3333,143.5833,60.01,76,100,22.3
8,Pangnirtung,CA,2021-07-27 12:53:08,66.1451,-65.7125,44.6,100,90,5.75
9,Akdepe,TM,2021-07-27 12:53:08,42.0551,59.3788,98.69,17,0,13.42
10,Thompson,CA,2021-07-27 12:53:09,55.7435,-97.8558,51.96,93,40,0.0
11,Portland,US,2021-07-27 12:50:44,45.5234,-122.6762,64.6,83,75,4.61
12,Vagur,FO,2021-07-27 12:53:09,61.4732,-6.8119,51.91,97,95,13.67
13,Bredasdorp,ZA,2021-07-27 12:53:10,-34.5322,20.0403,70.92,35,3,10.36
14,Jalu,LY,2021-07-27 12:53:10,29.0331,21.5482,98.76,18,0,7.47
15,Puerto Ayora,EC,2021-07-27 12:53:10,-0.7393,-90.3518,71.31,74,48,10.6
16,Ushuaia,AR,2021-07-27 12:51:33,-54.8,-68.3,35.26,87,75,4.61
17,Nipawin,CA,2021-07-27 12:53:11,53.3668,-104.0009,51.84,93,1,8.05
18,Goderich,CA,2021-07-27 12:53:11,43.7501,-81.7165,74.91,83,69,3.44
19,Kutum,SD,2021-07-27 12:53:12,14.2,24.6667,83.14,46,87,9.01
20,Russell,US,2021-07-27 12:50:08,32.3502,-85.1999,78.51,91,40,0.0
21,Provideniya,RU,2021-07-27 12:53:12,64.3833,-173.3,46.87,99,100,10.83
